순번,일련번호,카테고리,제목,내용,등록일
1,19008,올림픽공원,공연장에 여자화장실이 적어서 불편해요,올림픽공원 내 화장실의 수량 및 면적 등은 86아시안게임 88올림픽 당시의 관련법에 근거하여 정해졌습니다그러나 여성 고객이 많이 오시는 행사에는 불편이 초래되어 다음과 같은 조치를 하고 있습니다 먼저 일부 남자화장실을 여자화장실로 임시 전환하고 화장실 안내표시판을 교체하는 한편 바닥에도 진행방양 화살표를 그려 이용하기 쉽도록 하고 있습니다 여자화장실 확충을 위한 개보수공사도 진행하여 수용인원이 많은 체조 펜싱경기장의 일부 남자화장실을 여자화장실로 전환하는 공사를 실시하였습니다,2011-12-13
2,19034,올림픽공원,방송은 어디서 들으면 잘 들을 수 있을까요,올림픽공원 전체에 음악방송이 나갑니다평화의 광장 몽촌해자나 장미정원 등 아름다운 자연을 즐기실 수 있는 곳이 많아 오셔서 음악이 나오는 스피커 근처에 자리를 잡으시고 편안하게 들어주세요,2015-06-08
3,19014,올림픽공원,야외 무료공연시 심한 소음 불만(인근 주민의 공연소음불만),저희 올림픽공원에서는 공원을 이용하시는 시민 여러분이 편안히 즐길 수 있는야외 무료 콘서트’를 몽촌해자 수변무대 88호수수변무대 만남의 광장에서 진행하고 있습니다 인근 주민분들의 소음 피해를 최소화할 수 있도록 공연 전 협의를 통해 스피커 방향 및 음량을 최소화하고 저녁 9시 이전에 모든 행사가 종료될 수 있도록 하겠습니다공원을 찾아주신 고객님들께 다채로운 공연을 통한 문화향유와 즐거움을 드리기 위한 것이오니 고객님의 넓은 아량으로 이해해주시면 감사하겠습니다,2011-12-13
4,19030,올림픽공원,올림픽공원 매점 운영시간에  대해 궁금합니다,올림픽공원 옥외 매점은 10시부터 18시까지본점(핸드볼경기장 앞)은 08시부터 22시까지 운영하고 있습니다본점은 상시 운영을 하고 있으며 그 외 매점은 공원 내 행사 주말 및 공휴일 등을 감안 탄력적으로 운영하고 있습니다,2017-08-29
5,19001,올림픽공원,올림픽공원 수영장 수질관리 형태 및 온도는 몇 도를 유지하는지 궁금합니다,공원 수영장의 풀용수는 에너지절약을 위하여 상수도와 지하수를 병행 사용하고 있으며 수영장 풀 온도는 275℃~28℃를 유지하고 있습니다수영장 실내온도는 수온보다 1℃ 이상 높은 285℃~30℃로 유지하며 정수시스템은 수영장 리모델링공사(준공 ’07 12월)를 통한 최신 수처리 설비인 복합여과기+고압오존 살균시스템으로 운영하고 있습니다,2011-12-15
6,19010,올림픽공원,올림픽공원 시설물이 파손되었어요,올림픽공원 내 시설물 파손을 확인하셨다면 주변에 순찰 중인 청경이나 출입구 매표소에 말씀해 주시면빠른 시일내에 보수 조치토록 하겠습니다만약 긴급을 요하는 경우 024101119번(안전서비스신고센터)으로 전화주시면 즉시 조치토록 하겠습니다,2016-08-22
7,18985,올림픽공원,올림픽공원 이용시간이 어떻게 되나요,올림픽공원의 이용시간은 도보나 자전거 출입시 오전 5시~밤 10시 평화의광장 만남의광장 지역은 밤 12시까지이고차량을 이용하여출입하실 경우오전 6시~밤 10시까지 개방하고 있습니다(야간행사 개최시 제외)시설물 안전과 방문객의 신변보호를 위해 밤 10시 이후에는 평화의 광장 만남의 광장을 제외한 공원 안쪽으로의 출입을 금하고 있습니다,2016-08-22
8,19007,올림픽공원,올림픽공원 잔디 수목의 병해충은 어떻게 관리하나요,올림픽공원에서는 친환경관리를 위하여 농약사용을 최소화하고 친환경 저독성 농약으로 관리하고 있습니다또한 농약사용에 있어서도 작물보호협회의 농약 안전사용 기준에 따라 적용작물 살포시기 희석배율 주의사항을철저히 준수하고 있으며 병충해 방제 시 안내원을 배치하여 안전하게 작업하고 있습니다,2016-08-22
9,19006,올림픽공원,올림픽공원내 쓰레기통은 언제 수거 하나요,올림픽공원의 쾌적한 환경조성을 위하여공원내 쓰레기통은 매일 정해진 시간에 수거하고 있습니다다만 공원내 대형행사가 진행되고 있거나 방문객이 많을경우 안전사고 예방을 위하여당일야간 또는 익일 새벽에 폐기물 수거 작업을 진행하고 있습니다,2016-08-22
10,18984,올림픽공원,올림픽공원내 자전거 이용에 대하여,자전거 및 인라인 과속에 대해서는 질서유지를 위해 공원 내 배치되어있는 경비근무자를 통하여 계도하고 공원 안내방송을 통하여 지속적으로 홍보를 하여 안전사고 예방에 만전을 기하도록 하겠습니다 또한 토성 내 산책로는 자전거와 인라인의 통행을 제한하고 있음을 알려드립니다,2011-12-13
11,19003,올림픽공원,올림픽공원은 금연구역 인가요,올림픽공원의 쾌적하고 깨끗한 환경조성과 담배로 인한 간접흡연 등의 피해로부터 공원 이용객들을 보호하기 위해 월에 금연공원 지정 선포식을 하였습니다,2016-08-22
12,19037,올림픽공원,장미광장 관람시간은 어떻게 되나요 ,장미광장의 개방시간은 올림픽공원 개방시간과 동일하게 운영되고 있습니다개방시간은 매일 오전 5시 부터밤 12시 까지 입니다,2016-08-22
13,18975,올림픽공원,장미광장은 예약을 해야 관람할 수 있나요 ,장미꽃이 피는 시기는 매년5월 10월 두번입니다봄장미가 만개하는 시기에 장미광장을 개장하여 운영하고 있으나고객의 편의와 자유로운 관람을 위하여연중 무휴로개방하고 있으며별도의 예약절차 없이 이용이 가능하십니다단 상업적인 목적으로 이용을원하실 경우 별도의 절차에 따라대관신청을받고 있음을 알려드립니다 ,2016-08-22
14,19020,올림픽공원,주차 예상 소요 시간은 어느 정도인가요,공연시간 임박해서는 공원주변이 많이 혼잡하여 1시간가량 여유를 가지셔야 하며 가급적이면 대중교통을 이용하여 주시기 바랍니다,2016-05-03
15,19002,올림픽공원,체조경기장 상부 천장 케이블이 녹슬어 보입니다,녹슬어 보이는 케이블 연결부위는 부식에 의한 녹 발생이 아닌 방청제(구리스)를 도포한 부분으로 천장의 하중을 받쳐주는 중요한 시설로서 정확한 명칭은 미들링 다이아고날 케이블이라고 합니다 그 용도는 기둥하부 좌 우의 링케이블과 상단의 릿지케이블 사이에 위치한 지붕막을 누르기 위하여 각 기둥열에 설치된 10가닥으로 이루어진 케이블 마감 부위이며 종단에 방청제(구리스)를 도포하여 부식을 방지하고 있습니다,2011-12-13
16,19013,올림픽공원,평화의 광장에서 인라인/자전거 타고 싶은데 대여해 주는 곳이 있나요,올림픽공원내에서 인라인 대여는 하지 않고 있습니다인라인을 즐기시려면 평화의광장을 이용하시면 되시고 언제든지 개인 장비(인라인)를 지참하시면 이용이 가능합니다공원내 자전거 운영에 대해 안내해 드리겠습니다 공원의 뛰어난 경관 속에 행복한 가족 연인의 나들이가 될 수 있도록 4륜 2륜 자전거를 운영하고 있습니다 자세한 사항은 올림픽공원 자전거대여 안내에서 확인하실 수 있습니다 감사합니다,2021-02-23
17,19022,올림픽공원,휠체어 이용자 주차구역은 어디에 있나요,각 주차장내에 장애인 이용구역 안내문이 부착되어 있습니다,2016-05-03
18,19026,미사경정공원,대학교 동아리인데요 미사경정공원내 조정호 수면을 사용 할 수 있을까요,조정호 수면은 조정 카누 국가대표 및 각 협회에 등록된 선수들의 훈련장으로 활용 되고 있으며 2월~12월까지는 매주 수·목요일에는 일부 구간을 경정장으로 활용하고 있습니다 수면은 안전상의 문제로 일반단체나 개인에게는 대관하고 있지 않습니다,2020-05-13
19,18991,미사경정공원,미사경정공원 매점에서 식사로 먹을 수 있는 것이 있나요,미사경정공원 내 매점에서 다양한 간식과 음료를 판매하고 있습니다□ 매점 상품 안내 쉼터매점 · 잔디매점 : 컵라면 과자 아이스크림 및 완구 등  스낵매점 : 닭강정 핫도그 추러스 및 제조음료 등 □ 매점 위치 안내  쉼터매점 · 스낵매점 : 관리동 2층  잔디매점 : 미사경정공원 정문 입장 후 우측방향 약 1km 지점□ 매점 운영 시간 안내  쉼터매점 · 잔디매점 : 09:00 ∼ 18:00  스낵매점 : 10:00 ∼ 18:00 ※ 성수기(4월 ∼ 10월)에는 19:00 까지 연장 영업합니다 ※ 현재는 코로나19 확산을 방지하고자 18:00까지 단축 영업 중입니다,2020-05-13
20,18992,미사경정공원,미사경정공원 입장료는 있나요,미사경정공원은 입장료는 없습니다 다만 차량에 한해 주차비가 있습니다 참고로 주차비를 말씀드리면 소형:4000원 대형:10000원 경차:2000원입니다,2020-05-07
21,18994,미사경정공원,미사경정공원 잔디밭에 텐트를 쳐도 되나요,미사경정공원 잔디밭에는 가족단위나 휴식을 즐기기 위해 오시는 고객님이 대부분입니다 잔디밭에 따가운 햇살을 피하기 위한 나무그늘 밑에 돗자리는 가능하나텐트나 지주를 세우고 폴대를 박아 잔디에 손상을 주고 경관을 차단하는 그늘막 및 타프는 금지하고 있습니다 미사경정공원은 대중이 이용하는 시설로서 모든 분들이 이용하시는데 불편함이 없도록 노력하고 있습니다,2020-05-07
22,18995,미사경정공원,미사경정공원에서 왜 취사가 안 되는 건가요 예전엔 했던 것 같은데,미사경정공원은 법에 의해 공원 전지역이 취사가 금지되어 있습니다 하지만 도시락이나 음식물을 준비하셔서 드시는 것은 무방합니다예전에는 일부지역에서 취사를 허용하기도 하였으나 개정된 법에 따라 취사가 금지되었음을 알려드립니다,2020-05-07
23,19025,미사경정공원,미사경정공원에서 자전거 타려고 하는데 몇 시까지 가야 하나요,미사경정공원은 놀이시설로 자전거 대여를 운영하고 있습니다 성수기(4월 ∼ 10월)는 19:00까지 운영하고 그 외의 달은 18:00까지 운영합니다매표 마감은 운영 종료시간 1시간 전입니다감사합니다,2021-03-02
